JD,Year,Month,Day,n_g,n_s,Wn,s_g,s_s,Ws,Wolf
2457442,2016,02,23,2,6,24,0,1,6,30.14
2457443,2016,02,24,1,3,17,1,1,7,24.31
2457444,2016,02,25,1,1,9,1,4,12,20.78
2457445,2016,02,26,1,2,13,1,4,13,25.91
2457446,2016,02,27,0,1,5,1,7,13,17.86
2457447,2016,02,28,1,2,7,1,8,13,20.82
2457448,2016,02,29,1,4,17,1,5,12,29.32
2457449,2016,03,1,2,6,26,1,4,10,35.60
2457450,2016,03,2,2,6,30,1,5,12,42.24
2457451,2016,03,3,3,7,33,1,3,12,44.84
2457452,2016,03,4,4,13,50,1,3,17,67.04
2457453,2016,03,5,3,8,36,0,0,3,38.79
2457454,2016,03,6,3,10,44,0,0,1,44.43
2457455,2016,03,7,3,7,38,0,0,0,37.83
2457456,2016,03,8,2,7,31,0,0,1,31.50
2457457,2016,03,9,4,10,46,0,0,1,47.68
2457458,2016,03,10,4,8,47,0,0,3,50.00
2457459,2016,03,11,2,3,24,0,0,1,25.18
2457460,2016,03,12,2,7,32,0,0,2,33.95
2457461,2016,03,13,2,8,31,0,0,1,32.21
2457462,2016,03,14,2,11,34,0,0,0,34.04
2457463,2016,03,15,2,12,34,0,1,4,38.32
2457464,2016,03,16,2,6,26,0,1,6,31.94
2457465,2016,03,17,2,7,31,0,1,5,36.13
2457466,2016,03,18,2,6,27,0,0,0,27.07
2457467,2016,03,19,2,5,24,0,0,1,24.96
2457468,2016,03,20,1,4,19,0,0,0,19.24
2457469,2016,03,21,1,3,15,0,0,0,15.19
2457470,2016,03,22,1,3,11,0,0,0,11.35
2457471,2016,03,23,1,4,13,0,0,1,13.75
2457472,2016,03,24,1,3,13,1,1,6,19.50
2457473,2016,03,25,1,4,15,1,1,9,23.46
2457474,2016,03,26,1,1,9,1,1,7,15.51
2457475,2016,03,27,1,1,11,1,2,9,19.94
2457476,2016,03,28,1,1,6,1,2,8,14.26
2457477,2016,03,29,0,0,2,1,3,9,10.22
2457478,2016,03,30,0,0,2,1,2,9,10.88
2457479,2016,03,31,0,0,2,1,2,8,9.55
2457480,2016,04,1,0,1,4,1,1,6,9.70
2457481,2016,04,2,0,0,2,1,1,7,9.24
2457482,2016,04,3,1,2,10,1,1,6,15.95
2457483,2016,04,4,1,4,13,1,1,7,20.64
2457484,2016,04,5,1,5,14,0,1,6,19.70
2457485,2016,04,6,1,5,11,0,0,1,11.76
2457486,2016,04,7,1,5,15,0,0,0,15.67
2457487,2016,04,8,1,5,18,0,0,0,17.93
2457488,2016,04,9,1,7,17,0,0,0,16.92
2457489,2016,04,10,1,11,21,0,0,0,20.74
2457490,2016,04,11,1,12,26,0,0,0,25.97
2457491,2016,04,12,1,11,25,0,0,0,25.25
2457492,2016,04,13,2,10,26,0,0,1,26.83
2457493,2016,04,14,1,11,25,0,1,1,26.19
2457494,2016,04,15,1,14,27,0,0,1,27.69
2457495,2016,04,16,1,16,30,0,0,0,30.61
2457496,2016,04,17,2,10,25,0,0,0,25.05
2457497,2016,04,18,1,6,20,0,0,0,20.45
2457498,2016,04,19,1,4,18,0,0,1,18.80
2457499,2016,04,20,1,2,11,0,0,5,16.65
2457500,2016,04,21,1,2,11,0,1,5,16.47
2457501,2016,04,22,0,1,4,0,0,5,9.29
2457502,2016,04,23,1,1,7,1,1,6,12.73
2457503,2016,04,24,2,4,20,1,1,7,26.74
2457504,2016,04,25,2,5,27,1,1,8,34.44
2457505,2016,04,26,2,7,31,1,3,15,45.32
2457506,2016,04,27,2,6,25,1,5,20,44.75
2457507,2016,04,28,2,11,34,1,5,20,53.91
2457508,2016,04,29,3,12,39,2,4,20,58.43
2457509,2016,04,30,4,19,56,1,1,12,68.17
2457510,2016,05,1,3,15,44,1,1,6,50.92
2457511,2016,05,2,3,13,44,0,1,4,48.22
2457512,2016,05,3,3,12,41,0,0,1,42.27
2457513,2016,05,4,3,10,42,0,0,1,43.03
2457514,2016,05,5,3,9,36,0,0,1,37.00
2457515,2016,05,6,2,8,29,0,0,2,30.58
2457516,2016,05,7,1,7,22,0,0,2,23.54
2457517,2016,05,8,1,6,17,1,2,8,24.97
2457518,2016,05,9,1,10,21,1,3,9,30.54
2457519,2016,05,10,1,10,22,1,7,18,40.16
2457520,2016,05,11,1,10,21,1,10,21,42.38
2457521,2016,05,12,1,12,25,1,10,23,48.35
2457522,2016,05,13,1,12,26,1,7,21,46.46
2457523,2016,05,14,2,16,31,2,7,27,58.58
2457524,2016,05,15,1,14,28,2,5,24,52.14
2457525,2016,05,16,1,9,19,1,2,15,33.31
2457526,2016,05,17,1,5,12,1,2,10,22.00
2457527,2016,05,18,1,3,11,1,2,12,23.00
2457528,2016,05,19,1,2,11,1,5,18,29.35
2457529,2016,05,20,1,1,7,1,6,17,23.75
2457530,2016,05,21,0,0,1,1,5,12,13.50
2457531,2016,05,22,0,0,1,1,4,14,14.18
2457532,2016,05,23,0,0,1,1,3,9,10.33
2457533,2016,05,24,0,2,6,1,1,8,14.11
2457534,2016,05,25,1,5,15,1,1,8,23.15
2457535,2016,05,26,1,6,14,1,1,7,21.74
2457536,2016,05,27,1,7,15,0,1,4,19.06
2457537,2016,05,28,1,3,11,1,4,10,21.00
2457538,2016,05,29,1,1,7,1,3,11,17.81
2457539,2016,05,30,1,6,19,1,2,7,26.03
2457540,2016,05,31,1,6,20,0,1,3,23.15
2457541,2016,06,1,1,5,16,1,1,7,22.97
2457542,2016,06,2,1,2,10,0,0,2,11.68
2457543,2016,06,3,0,0,0,0,0,0,0.00
2457544,2016,06,4,0,0,1,0,0,1,1.72
2457545,2016,06,5,0,0,1,0,0,1,1.61
2457546,2016,06,6,0,0,1,0,0,0,1.24
2457547,2016,06,7,1,1,8,0,0,0,8.05
2457548,2016,06,8,1,3,11,0,0,0,10.53
2457549,2016,06,9,1,6,13,0,0,0,12.66
2457550,2016,06,10,1,6,14,1,1,7,21.02
2457551,2016,06,11,1,8,21,1,1,8,29.25
2457552,2016,06,12,1,6,15,1,1,8,23.29
2457553,2016,06,13,1,4,11,1,1,9,20.51
2457554,2016,06,14,1,3,11,1,2,14,25.21
2457555,2016,06,15,1,1,8,1,3,15,22.59
2457556,2016,06,16,0,1,5,1,5,18,23.00
2457557,2016,06,17,1,1,8,1,4,17,25.00
2457558,2016,06,18,1,2,16,1,2,13,29.00
2457559,2016,06,19,2,5,20,1,1,9,28.85
2457560,2016,06,20,1,3,15,1,1,7,22.13
2457561,2016,06,21,1,1,8,1,1,7,14.75
2457562,2016,06,22,1,1,8,0,1,5,12.92
2457563,2016,06,23,0,0,1,0,0,0,1.45
2457564,2016,06,24,0,0,1,0,0,0,1.42
2457565,2016,06,25,0,0,0,0,0,0,0.00
2457566,2016,06,26,0,0,1,0,0,0,0.52
2457567,2016,06,27,0,0,0,0,0,0,0.57
2457568,2016,06,28,0,0,0,0,0,0,0.29
2457569,2016,06,29,0,0,0,0,0,0,0.32
2457570,2016,06,30,0,0,0,0,0,1,1.09
2457571,2016,07,1,0,0,0,0,0,0,0.29
2457572,2016,07,2,0,0,1,0,0,0,0.80
2457573,2016,07,3,0,0,2,0,0,1,2.98
2457574,2016,07,4,0,0,1,0,0,0,0.80
2457575,2016,07,5,0,1,3,0,0,2,5.03
2457576,2016,07,6,0,0,1,0,1,5,5.75
2457577,2016,07,7,0,1,3,1,3,14,17.37
2457578,2016,07,8,1,2,11,1,3,13,24.14
2457579,2016,07,9,1,6,18,1,5,15,33.14
2457580,2016,07,10,1,7,19,1,4,10,29.33
2457581,2016,07,11,2,11,31,1,4,11,41.46
2457582,2016,07,12,2,8,27,1,3,10,36.54
2457583,2016,07,13,2,6,24,1,3,10,33.90
2457584,2016,07,14,2,8,27,1,3,10,36.64
2457585,2016,07,15,2,12,31,1,4,16,46.81
2457586,2016,07,16,1,13,28,1,2,8,35.79
2457587,2016,07,17,1,14,28,0,1,4,32.38
2457588,2016,07,18,2,20,41,0,0,1,42.09
2457589,2016,07,19,2,17,36,0,1,2,37.41
2457590,2016,07,20,2,15,33,0,1,1,34.51
2457591,2016,07,21,2,14,32,0,0,1,33.00
2457592,2016,07,22,1,9,22,0,0,0,22.37
2457593,2016,07,23,1,7,19,0,0,1,20.10
2457594,2016,07,24,0,1,6,0,0,0,6.00
2457595,2016,07,25,0,0,0,0,0,0,0.00
2457596,2016,07,26,0,0,0,0,0,0,0.29
2457597,2016,07,27,0,0,0,0,0,0,0.00
2457598,2016,07,28,0,1,5,0,0,0,5.66
2457599,2016,07,29,1,3,14,0,0,1,14.71
2457600,2016,07,30,1,2,11,0,0,0,11.42
2457601,2016,07,31,0,1,6,0,0,0,5.92
2457602,2016,08,1,0,1,6,0,0,0,5.59
2457603,2016,08,2,0,1,6,0,0,0,6.15
2457604,2016,08,3,0,0,1,0,0,0,1.44
2457605,2016,08,4,1,2,10,0,0,1,11.19
2457606,2016,08,5,1,9,23,0,0,1,23.88
2457607,2016,08,6,1,10,24,0,0,0,24.34
2457608,2016,08,7,2,15,36,0,0,0,36.29
2457609,2016,08,8,3,18,43,0,1,4,47.44
2457610,2016,08,9,2,11,34,1,1,8,41.65
2457611,2016,08,10,3,10,38,1,2,9,46.56
2457612,2016,08,11,3,11,37,1,2,9,46.77
2457613,2016,08,12,2,11,32,1,2,10,41.97
2457614,2016,08,13,2,10,28,1,2,10,37.39
2457615,2016,08,14,2,10,26,1,3,11,37.51
2457616,2016,08,15,2,8,30,1,2,12,42.05
2457617,2016,08,16,3,9,42,1,3,13,54.66
2457618,2016,08,17,2,5,24,1,2,10,34.31
2457619,2016,08,18,2,5,21,1,3,11,32.33
2457620,2016,08,19,2,4,20,1,2,7,27.06
2457621,2016,08,20,1,3,10,0,0,0,10.14
2457622,2016,08,21,0,1,3,0,0,1,4.06
2457623,2016,08,22,1,4,12,1,1,6,18.20
2457624,2016,08,23,1,9,21,1,1,8,29.62
2457625,2016,08,24,2,9,24,1,1,9,32.83
2457626,2016,08,25,1,7,21,1,2,9,29.63
2457627,2016,08,26,1,11,25,1,1,9,33.98
2457628,2016,08,27,1,11,26,1,2,10,35.13
2457629,2016,08,28,2,12,30,1,2,9,38.90
2457630,2016,08,29,2,13,34,1,3,11,44.59
2457631,2016,08,30,2,10,28,1,5,14,41.76
2457632,2016,08,31,2,9,28,1,5,16,44.06
2457633,2016,09,1,2,12,34,1,2,11,44.38
2457634,2016,09,2,2,16,38,0,0,2,40.32
2457635,2016,09,3,2,15,36,0,0,1,36.94
2457636,2016,09,4,1,11,23,0,0,2,24.45
2457637,2016,09,5,1,9,16,0,0,1,17.65
2457638,2016,09,6,2,11,29,0,0,1,30.57
2457639,2016,09,7,2,14,31,0,0,1,31.81
2457640,2016,09,8,2,14,34,0,1,2,36.02
2457641,2016,09,9,3,17,44,0,0,2,45.66
2457642,2016,09,10,3,19,47,0,1,4,50.40
2457643,2016,09,11,2,15,37,0,1,2,39.78
2457644,2016,09,12,3,9,34,0,1,3,37.48
2457645,2016,09,13,1,5,18,0,0,1,19.68
2457646,2016,09,14,1,2,11,0,0,1,12.34
2457647,2016,09,15,1,2,11,0,0,0,11.37
2457648,2016,09,16,1,2,8,0,0,0,8.41
2457649,2016,09,17,1,2,9,0,0,1,9.94
2457650,2016,09,18,2,8,23,0,1,3,26.19
2457651,2016,09,19,2,9,31,0,0,1,32.16
2457652,2016,09,20,2,10,27,0,0,1,28.21
2457653,2016,09,21,1,10,24,0,0,0,24.83
2457654,2016,09,22,1,8,23,1,2,7,29.94
2457655,2016,09,23,1,10,25,1,5,11,35.91
2457656,2016,09,24,1,4,17,1,8,14,30.94
2457657,2016,09,25,0,1,3,1,7,14,16.94
2457658,2016,09,26,0,0,1,1,10,17,17.18
2457659,2016,09,27,0,0,0,1,7,14,14.32
2457660,2016,09,28,0,1,4,1,6,12,15.28
2457661,2016,09,29,0,0,1,1,4,11,11.84
2457662,2016,09,30,0,0,0,0,0,2,2.04
2457663,2016,10,1,0,0,0,0,0,0,0.00
2457664,2016,10,2,0,1,6,0,0,0,5.94
2457665,2016,10,3,1,6,13,1,2,8,21.10
2457666,2016,10,4,1,8,14,1,3,9,23.68
2457667,2016,10,5,1,9,17,1,4,10,26.61
2457668,2016,10,6,1,13,26,1,4,10,36.38
2457669,2016,10,7,1,12,26,1,5,12,38.09
2457670,2016,10,8,1,13,27,1,8,16,43.09
2457671,2016,10,9,1,13,27,1,10,18,45.89
2457672,2016,10,10,2,7,24,1,6,14,38.11
2457673,2016,10,11,2,6,28,1,7,15,43.03
2457674,2016,10,12,2,3,19,1,4,13,31.72
2457675,2016,10,13,1,3,16,1,3,8,24.33
2457676,2016,10,14,2,4,20,1,2,9,28.79
2457677,2016,10,15,2,4,19,1,1,6,25.74
2457678,2016,10,16,2,4,20,0,0,0,20.22
2457679,2016,10,17,1,2,17,0,0,0,17.09
2457680,2016,10,18,1,7,21,0,0,0,21.45
2457681,2016,10,19,1,7,16,0,0,0,15.94
2457682,2016,10,20,1,4,11,0,0,1,12.12
2457683,2016,10,21,1,6,18,0,0,0,18.14
2457684,2016,10,22,1,4,13,0,0,0,13.26
2457685,2016,10,23,1,2,9,0,0,0,9.69
2457686,2016,10,24,1,2,10,0,0,0,9.80
2457687,2016,10,25,1,5,12,0,0,0,11.96
2457688,2016,10,26,1,4,13,0,0,0,12.73
2457689,2016,10,27,1,4,16,0,0,0,16.48
2457690,2016,10,28,1,5,19,0,1,2,20.72
2457691,2016,10,29,1,4,13,0,1,2,14.30
2457692,2016,10,30,0,1,5,0,0,0,5.33
2457693,2016,10,31,1,2,7,0,0,1,7.97
2457694,2016,11,1,1,1,7,0,0,1,7.56
2457695,2016,11,2,0,0,1,0,0,0,1.36
2457696,2016,11,3,1,2,11,0,0,2,13.53
2457697,2016,11,4,1,3,14,0,0,3,16.64
2457698,2016,11,5,1,3,15,0,0,0,15.11
2457699,2016,11,6,1,2,12,0,0,0,12.52
2457700,2016,11,7,1,1,7,0,0,0,6.79
2457701,2016,11,8,0,0,0,0,0,0,0.48
2457702,2016,11,9,0,0,1,0,1,4,4.68
2457703,2016,11,10,0,0,2,1,3,13,15.14
2457704,2016,11,11,0,1,4,1,4,15,18.93
2457705,2016,11,12,0,1,4,1,1,9,12.91
2457706,2016,11,13,1,3,11,1,3,12,23.09
2457707,2016,11,14,1,5,13,1,2,9,22.39
2457708,2016,11,15,1,5,12,0,1,4,15.53
2457709,2016,11,16,1,5,16,0,0,1,16.31
2457710,2016,11,17,1,6,18,0,0,1,19.09
2457711,2016,11,18,1,6,19,0,0,1,20.63
2457712,2016,11,19,1,2,7,0,0,0,7.45
2457713,2016,11,20,0,0,3,0,0,0,3.65
2457714,2016,11,21,0,0,0,0,0,0,0.85
2457715,2016,11,22,0,0,0,0,0,0,0.48
2457716,2016,11,23,1,1,9,0,0,0,8.73
2457717,2016,11,24,1,2,10,0,0,0,9.86
2457718,2016,11,25,1,3,11,0,0,0,10.56
2457719,2016,11,26,1,3,14,0,0,2,16.04
2457720,2016,11,27,2,7,22,0,0,1,23.04
2457721,2016,11,28,2,8,27,0,0,1,27.64
2457722,2016,11,29,2,9,25,1,3,10,35.61
2457723,2016,11,30,2,8,23,1,6,13,35.96
2457724,2016,12,1,2,7,24,1,6,12,35.70
2457725,2016,12,2,2,7,25,1,6,13,38.00
2457726,2016,12,3,1,4,16,1,6,13,28.97
2457727,2016,12,4,0,1,5,1,9,16,21.48
2457728,2016,12,5,0,0,1,1,9,20,21.41
2457729,2016,12,6,0,2,5,1,8,15,20.31
2457730,2016,12,7,0,0,1,1,5,13,13.96
2457731,2016,12,8,0,0,0,1,3,10,10.87
2457732,2016,12,9,0,0,0,0,1,6,5.76
2457733,2016,12,10,0,0,1,0,0,0,0.72
2457734,2016,12,11,0,0,2,0,0,2,3.28
2457735,2016,12,12,1,1,6,0,0,1,7.68
2457736,2016,12,13,1,2,7,0,0,1,8.55
2457737,2016,12,14,1,1,9,0,0,1,9.92
2457738,2016,12,15,1,1,6,0,0,0,6.56
2457739,2016,12,16,0,0,0,0,0,0,0.48
2457740,2016,12,17,1,2,7,0,0,0,7.46
2457741,2016,12,18,1,3,14,0,0,0,14.18
2457742,2016,12,19,1,2,10,0,0,0,10.13
2457743,2016,12,20,0,0,3,1,2,8,11.04
2457744,2016,12,21,0,0,3,1,6,19,21.27
2457745,2016,12,22,0,0,1,1,2,8,8.78
2457746,2016,12,23,0,0,0,0,0,1,1.42
2457747,2016,12,24,0,0,0,0,0,0,0.36
2457748,2016,12,25,0,0,0,0,0,0,0.35
2457749,2016,12,26,0,1,4,0,0,0,3.76
2457750,2016,12,27,1,3,9,0,0,0,9.65
2457751,2016,12,28,0,1,5,0,0,0,5.28
2457752,2016,12,29,0,0,2,0,0,2,3.93
2457753,2016,12,30,0,0,4,0,0,2,5.57
2457754,2016,12,31,0,0,2,0,1,6,7.56
2457755,2017,01,1,0,0,0,0,1,3,3.18
2457756,2017,01,2,0,0,1,0,1,3,3.97
2457757,2017,01,3,0,0,0,0,0,2,2.04
2457758,2017,01,4,0,0,0,0,0,0,0.00
2457759,2017,01,5,0,0,0,0,0,0,0.00
2457760,2017,01,6,0,0,0,0,0,0,0.00
2457761,2017,01,7,0,0,1,0,0,0,0.80
2457762,2017,01,8,0,0,0,0,0,0,0.00
2457763,2017,01,9,0,0,0,0,0,0,0.00
2457764,2017,01,10,0,0,2,0,0,0,1.83
2457765,2017,01,11,0,0,0,0,0,0,0.00
2457766,2017,01,12,1,1,6,0,0,0,5.81
2457767,2017,01,13,2,3,18,0,0,0,18.11
2457768,2017,01,14,2,4,22,0,0,0,21.94
2457769,2017,01,15,2,3,19,0,0,0,18.82
2457770,2017,01,16,1,4,18,0,0,0,18.40
2457771,2017,01,17,2,6,23,0,0,0,23.46
2457772,2017,01,18,2,7,24,0,0,0,23.54
2457773,2017,01,19,2,5,21,0,0,0,20.58
2457774,2017,01,20,2,9,32,0,0,0,31.56
2457775,2017,01,21,3,16,41,0,0,1,41.76
2457776,2017,01,22,2,16,40,0,0,0,40.30
2457777,2017,01,23,2,13,36,0,0,0,36.36
2457778,2017,01,24,2,9,32,0,0,0,31.92
2457779,2017,01,25,2,12,32,0,0,0,32.31
2457780,2017,01,26,2,10,26,0,0,0,25.93
2457781,2017,01,27,1,5,20,0,0,0,20.00
2457782,2017,01,28,1,5,19,0,0,1,19.50
2457783,2017,01,29,2,4,21,0,0,0,21.54
2457784,2017,01,30,2,3,19,0,1,5,23.96
2457785,2017,01,31,1,3,18,1,3,9,26.86
2457786,2017,02,1,2,6,22,0,1,5,27.52
2457787,2017,02,2,2,8,27,0,0,0,27.48
2457788,2017,02,3,2,4,19,0,0,0,18.65
2457789,2017,02,4,1,2,8,0,0,0,7.79
2457790,2017,02,5,1,1,6,0,0,0,6.80
2457791,2017,02,6,1,1,6,0,0,0,6.36
2457792,2017,02,7,0,1,5,0,0,0,4.54
2457793,2017,02,8,0,0,3,0,0,1,3.75
2457794,2017,02,9,1,4,12,0,0,0,12.16
2457795,2017,02,10,1,5,12,0,0,0,12.00
2457796,2017,02,11,1,6,14,0,0,0,14.35
2457797,2017,02,12,1,4,10,0,0,0,10.22
2457798,2017,02,13,1,4,10,0,0,0,9.57
2457799,2017,02,14,1,2,10,0,0,0,10.06
2457800,2017,02,15,1,1,11,0,0,0,11.48
2457801,2017,02,16,1,1,7,0,0,0,7.14
2457802,2017,02,17,0,2,6,0,0,0,6.76
2457803,2017,02,18,0,1,4,0,0,3,7.03
2457804,2017,02,19,1,1,7,0,1,5,11.76
2457805,2017,02,20,1,3,13,0,0,3,16.21
2457806,2017,02,21,1,6,16,0,0,0,15.64
2457807,2017,02,22,1,6,14,0,0,0,14.07
2457808,2017,02,23,1,4,12,0,0,0,11.83
2457809,2017,02,24,1,2,11,0,1,5,15.45
2457810,2017,02,25,1,2,8,1,2,7,15.71
2457811,2017,02,26,1,2,11,0,1,5,15.56
2457812,2017,02,27,2,6,23,0,0,2,24.63
2457813,2017,02,28,2,9,32,0,0,1,32.97
2457814,2017,03,1,2,11,35,0,0,0,35.40
2457815,2017,03,2,2,8,29,0,0,0,28.91
2457816,2017,03,3,2,5,24,0,0,0,24.41
2457817,2017,03,4,0,1,5,0,0,0,4.83
2457818,2017,03,5,0,1,5,0,0,0,4.60
2457819,2017,03,6,0,0,1,0,0,0,0.86
2457820,2017,03,7,0,0,0,0,0,0,0.00
2457821,2017,03,8,0,0,1,0,0,0,0.72
2457822,2017,03,9,0,0,0,0,0,0,0.61
2457823,2017,03,10,0,0,0,0,0,0,0.00
2457824,2017,03,11,0,0,0,0,0,0,0.00
2457825,2017,03,12,0,0,0,0,0,0,0.63
2457826,2017,03,13,0,0,0,0,0,0,0.00
2457827,2017,03,14,0,0,0,0,0,0,0.38
2457828,2017,03,15,0,0,1,0,0,0,1.13
2457829,2017,03,16,0,0,0,0,0,0,0.00
2457830,2017,03,17,0,0,0,0,0,0,0.00
2457831,2017,03,18,0,0,0,0,0,0,0.00
2457832,2017,03,19,0,0,0,0,0,0,0.00
2457833,2017,03,20,0,0,0,0,0,0,0.00
2457834,2017,03,21,1,1,6,0,0,0,6.38
2457835,2017,03,22,1,1,8,0,0,0,7.84
2457836,2017,03,23,1,2,9,0,0,0,9.03
2457837,2017,03,24,1,1,9,0,0,0,8.81
2457838,2017,03,25,1,2,12,0,0,0,11.79
2457839,2017,03,26,1,8,19,0,0,0,19.22
2457840,2017,03,27,1,11,21,0,1,5,26.66
2457841,2017,03,28,1,11,21,1,5,11,32.03
2457842,2017,03,29,1,5,14,1,8,15,29.63
2457843,2017,03,30,1,5,13,1,12,21,33.57
2457844,2017,03,31,1,5,18,1,17,24,41.65
2457845,2017,04,1,1,8,21,1,17,24,45.27
2457846,2017,04,2,1,13,23,1,21,34,57.06
2457847,2017,04,3,1,13,27,1,23,36,62.62
2457848,2017,04,4,1,4,13,2,20,35,48.53
2457849,2017,04,5,0,1,3,1,14,28,31.65
2457850,2017,04,6,0,0,1,1,9,22,23.65
2457851,2017,04,7,0,0,0,1,2,9,9.65
2457852,2017,04,8,0,0,0,0,0,0,0.62
2457853,2017,04,9,0,0,3,0,0,0,3.30
2457854,2017,04,10,1,2,8,0,0,0,8.41
2457855,2017,04,11,1,2,8,0,0,0,8.28
2457856,2017,04,12,1,2,11,0,0,0,11.11
2457857,2017,04,13,1,3,12,0,0,0,12.35
2457858,2017,04,14,1,2,10,0,0,0,10.28
2457859,2017,04,15,0,0,1,0,0,0,0.97
2457860,2017,04,16,0,0,1,0,0,0,0.61
2457861,2017,04,17,0,0,2,0,0,0,1.92
2457862,2017,04,18,1,2,10,0,0,0,9.81
2457863,2017,04,19,1,4,12,0,0,0,12.22
2457864,2017,04,20,1,5,18,0,0,0,17.60
2457865,2017,04,21,1,6,21,0,1,6,26.50
2457866,2017,04,22,1,5,13,1,2,9,21.44
2457867,2017,04,23,1,6,17,1,2,8,24.78
2457868,2017,04,24,1,7,21,1,1,7,28.44
2457869,2017,04,25,1,5,19,1,2,8,27.40
2457870,2017,04,26,1,3,15,1,1,7,21.62
2457871,2017,04,27,1,2,10,1,1,8,18.39
2457872,2017,04,28,1,2,13,1,1,9,21.63
2457873,2017,04,29,1,2,12,1,1,8,20.24
2457874,2017,04,30,1,1,9,1,1,8,17.00
2457875,2017,05,1,0,0,2,1,1,8,9.61
2457876,2017,05,2,1,6,12,1,1,6,18.56
2457877,2017,05,3,1,4,11,0,0,1,12.00
2457878,2017,05,4,1,5,13,0,0,0,13.43
2457879,2017,05,5,1,7,21,0,0,0,21.03
2457880,2017,05,6,1,4,17,0,0,0,17.49
2457881,2017,05,7,1,2,13,0,0,0,13.54
2457882,2017,05,8,1,1,7,0,0,0,7.28
2457883,2017,05,9,0,0,0,0,0,0,0.00
2457884,2017,05,10,0,0,0,0,0,0,0.00
2457885,2017,05,11,0,0,0,0,0,2,1.50
2457886,2017,05,12,0,1,3,0,0,0,3.72
2457887,2017,05,13,0,0,0,0,0,0,0.32
2457888,2017,05,14,0,0,0,0,0,0,0.00
2457889,2017,05,15,0,0,1,0,0,0,0.51
2457890,2017,05,16,1,2,10,0,0,0,10.49
2457891,2017,05,17,1,1,9,0,0,1,9.73
2457892,2017,05,18,1,1,9,1,1,7,15.87
2457893,2017,05,19,1,1,9,1,2,9,17.49
2457894,2017,05,20,1,1,10,1,1,7,17.40
2457895,2017,05,21,1,3,14,1,1,8,21.56
2457896,2017,05,22,1,3,16,1,4,16,32.08
2457897,2017,05,23,1,4,18,1,4,16,34.26
2457898,2017,05,24,1,5,13,0,0,2,14.64
2457899,2017,05,25,1,8,17,0,0,1,18.06
2457900,2017,05,26,1,9,16,0,0,0,16.24
2457901,2017,05,27,1,8,16,0,0,0,16.12
2457902,2017,05,28,1,6,13,0,0,0,12.90
2457903,2017,05,29,0,2,7,0,0,0,6.98
2457904,2017,05,30,0,0,0,0,0,0,0.33
2457905,2017,05,31,0,0,0,0,0,0,0.00
2457906,2017,06,1,1,2,10,0,0,0,9.91
2457907,2017,06,2,1,7,15,0,0,0,14.80
2457908,2017,06,3,1,8,16,0,0,0,16.44
2457909,2017,06,4,1,10,18,0,0,0,18.44
2457910,2017,06,5,1,10,18,0,0,0,17.97
2457911,2017,06,6,1,9,15,0,0,0,15.32
2457912,2017,06,7,1,3,10,0,0,0,10.00
2457913,2017,06,8,1,2,8,0,0,0,7.58
2457914,2017,06,9,0,0,2,0,0,0,1.78
2457915,2017,06,10,0,0,1,0,0,0,0.92
2457916,2017,06,11,0,0,1,0,0,0,1.16
2457917,2017,06,12,0,0,1,0,0,0,1.18
2457918,2017,06,13,1,1,7,0,0,0,7.00
2457919,2017,06,14,1,1,8,0,0,0,7.76
2457920,2017,06,15,1,7,19,0,0,0,19.62
2457921,2017,06,16,1,6,19,0,0,0,19.02
2457922,2017,06,17,1,6,18,0,0,0,18.12
2457923,2017,06,18,1,6,18,0,0,0,18.52
2457924,2017,06,19,1,4,17,0,0,1,17.43
2457925,2017,06,20,2,3,19,0,0,0,19.14
2457926,2017,06,21,2,3,19,0,0,1,19.28
2457927,2017,06,22,1,3,16,0,0,0,16.21
2457928,2017,06,23,1,2,16,0,0,0,15.71
2457929,2017,06,24,1,4,13,0,0,1,13.35
2457930,2017,06,25,1,5,11,0,0,0,11.07
2457931,2017,06,26,1,6,12,0,0,1,12.75
2457932,2017,06,27,1,5,11,0,0,0,11.37
2457933,2017,06,28,1,4,11,0,0,0,11.29
2457934,2017,06,29,1,2,8,0,0,0,8.17
2457935,2017,06,30,1,1,7,0,0,1,7.72
2457936,2017,07,1,1,1,9,0,0,0,9.27
2457937,2017,07,2,0,1,5,0,0,0,5.61
2457938,2017,07,3,0,0,2,0,0,0,1.56
2457939,2017,07,4,0,0,0,0,0,0,0.00
2457940,2017,07,5,0,0,0,0,0,4,4.42
2457941,2017,07,6,0,0,0,1,3,10,10.62
2457942,2017,07,7,0,0,0,1,9,16,15.57
2457943,2017,07,8,0,0,1,1,11,17,17.48
2457944,2017,07,9,0,1,2,1,15,22,23.94
2457945,2017,07,10,0,1,3,1,16,23,25.49
2457946,2017,07,11,0,0,0,1,17,23,23.61
2457947,2017,07,12,1,5,12,1,16,23,35.30
2457948,2017,07,13,1,9,16,1,15,22,38.68
2457949,2017,07,14,1,4,12,1,10,17,28.48
2457950,2017,07,15,0,1,5,1,7,13,17.24
2457951,2017,07,16,0,0,2,1,4,11,12.88
2457952,2017,07,17,0,0,3,1,2,7,10.12
2457953,2017,07,18,0,0,0,0,0,1,1.43
2457954,2017,07,19,0,0,0,0,0,0,0.00
2457955,2017,07,20,0,0,1,0,0,0,0.55
2457956,2017,07,21,0,0,0,0,0,0,0.00
2457957,2017,07,22,0,0,1,0,0,0,1.26
2457958,2017,07,23,0,0,0,0,0,0,0.00
